¼ø¹ø,ÀÛÇ°¸í,ÀÎ¹°¸í,ÀÛÁß ³ªÀÌ,¼ºº°,Ãâ»ýÁö,¿¬·É´ë,½ÅºÐÀ¯Çü,¿ø½Ãµ¥ÀÌÅÍ,ÅÂ±ë µ¥ÀÌÅÍ
553,ÀÀ´äÇÏ¶ó1994,ÀÌÀÏÈ­,47,¿©,°æ³² ¸¶»ê,40´ë,ÁÖºÎ,¾ÆÀÌ°í º°ÀÏ¾øÀ»³§´Ï´Ù °ÆÁ¤¸¶ÀÌ¼Ò,¾ÆÀÌ°í/IC º°ÀÏ/NNG+¾ø__01/VA+À»/ETM+³¢__02/VV+¤²´Ï´Ù/EC °ÆÁ¤/NNG+¸»__03/VV+¾Æ/ECS+ÀÌ¼Ò/EF
554,ÀÀ´äÇÏ¶ó1994,ÀÌÀÏÈ­,47,¿©,°æ³² ¸¶»ê,40´ë,ÁÖºÎ,¿¹¿¹..,¿¹¿¹__01/IC+./SF+./SF
555,ÀÀ´äÇÏ¶ó1994,ÀÌÀÏÈ­,47,¿©,°æ³² ¸¶»ê,40´ë,ÁÖºÎ,ÀÓ¸¶ÀÌ°Å ¿ÖÀÌ·¡ ¾È¿À³ë..,ÀÓ¸¶/IC+ÀÌ°Å__01/NP ¿Ö__02/MAG+ÀÌ·¯/VV+¾î/EC ¾È/MAG+¿À/VV+³ë/EF+./SF+./SF
556,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¿Àºü!!!!!,¿Àºü/NNG+!/SF+!/SF+!/SF+!/SF+!/SF
557,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¾¾ÀÍ..¾¾ÀÍ..,¾¾ÀÍ/MAG+./SF+./SF+¾¾ÀÍ/MAG+./SF+./SF
558,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹ÌÄ£°ÍÀÌ ÁøÂ¥.. µ¹¾Ò³ª ÁøÂ¥..,¹ÌÄ£°Í/NNG+ÀÌ/JKS ÁøÂ¥/MAG+./SF+./SF µ¹/VV+¾Ò/EP+³ª/EC ÁøÂ¥/MAG+./SF+./SF
559,ÀÀ´äÇÏ¶ó1994,ÀÌÀÏÈ­,47,¿©,°æ³² ¸¶»ê,40´ë,ÁÖºÎ,¾Æµû ¿ì¸®¾Æµé³»¹Ì ¾ß¹«Áö°Ô °¬´Ù³ù³×,¾Æµû__01/IC ¿ì¸®__03/NP+¾Æµé³»¹Ì/NNG ¾ß¹«Áö/VA+°Ô/EC °¡__01/VV+¾Ò/EP+´Ù/EC+³õ__01/VX+¾Ò/EP+³×/EF
560,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¾ö¸¶!,¾ö¸¶/NNG+!/SF
561,ÀÀ´äÇÏ¶ó1994,ÀÌÀÏÈ­,47,¿©,°æ³² ¸¶»ê,40´ë,ÁÖºÎ,¾Æ ½Ã²ô·´´Ù »¡·¡µ¹¸®±¸·¯ ¿ÊÀÌ³ª ¹þ¾î³»³ö¶ó,¾Æ__02/IC ½Ã²ô·´/VA+´Ù/EC »¡·¡/NNG+µ¹¸®__04/VV+±¸¸®/VA+¾î/EC ¿Ê__01/NNG+ÀÌ³ª/JX ¹þ/VV+¾î/EC+³»³õ/VV+¾Æ¶ó/EC
562,ÀÀ´äÇÏ¶ó1994,ÀÌÀÏÈ­,47,¿©,°æ³² ¸¶»ê,40´ë,ÁÖºÎ,¿Àºü¾ß°Íµµ ½Ï´Ù °È¾î¿À°í,¿Àºü/NNG+ÀÌ/VCP+¾ß/EC+°Í__01/NNB+µµ/JX ½Ï__01/NNG+´Ù/NR °È__03/VV+¾î/EC+¿À__01/VX+°í/EC
563,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,ÈÊ,ÈÊ/IC
564,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹ºµ¥,¹¹/NP+ÀÌ/VCP+¤¤µ¥/EC
565,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¹»,¹«¾ù/NP+¤©/JKO
566,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹ºÁþÀÌ³Ä°í,¹«½¼/MM+Áþ__01/NNG+ÀÌ/VCP+³Ä°í/EC
567,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¹½À»,¹½/NP+À»/JKO
568,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,´Ï ¿ä»õ ¿å±¸ºÒ¸¸ÀÌ°¡,´Ï__05/NP ¿ä»õ/MAG ¿å±¸/NNG+ºÒ¸¸/NNG+ÀÌ__04/NNB+°¡/JKS
569,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,ÀÌ °¡½Ã³» ¿ÀºüÇÑÅ× ÀÌ°Å,ÀÌ__05/MM °¡½Ã³»/NNG ¿Àºü/NNG+ÇÑÅ×/JKB ÀÌ°Å__01/NP
570,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,ºê¶óÀÚ¶ûºþ½º¶û ´Ï°¡±×·¨Á¦,ºê¶óÀÚ/NNP+¶û/JKB+ºþ½º/NNG+¶û/JKB ´Ï__05/NP+°¡/JKS+±×·¯/VV+¾ú/EP+Àú__03/NP+ÀÇ/JKG
571,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¿Ö °í¸¶¿ö ¾î?,¿Ö__02/MAG °í¸¿__01/VA+¾î/EC ¾î__02/IC+?/SF
572,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾ß ¿Àºü°¡ ¿©µ¿»ý ºþÂé±îÁö Ã¬°ÜÁáÀ¸¹È ³× °í¸¿½À´Ï´Ù ±×·¡¾ßÁö,¾ß__04/IC ¿Àºü/NNG+°¡/JKS ¿©µ¿»ý/NNG ºþÂé/NNP+±îÁö/JX Ã¬±â/VV+¾î/EC+ÁÖ__01/VX+¾ú/EP+À¸¹È/EC ³×__03/IC °í¸¿__01/VA+½À´Ï´Ù/EC ±×·¯/VV+¾î¾ßÁö/EF
573,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,ÀÌ ¼¼»óÃµÁö¿¡ ³»°°Àº ¿Àºü ¾îµ¥ÀÖ¾î,ÀÌ__05/MM ¼¼»óÃµÁö/NNG+¿¡/JKB ³»__04/NP+°°/VA+Àº/ETM ¿Àºü/NNG ¾îµ¥/NP+ÀÖ__01/VA+¾î/EC
574,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,À¯Ä¡ÇÏ±¸·Î ±×³ªÀÌ¸Ô°í±×·¡ »ì°í½Í³ª ´Ï ¸î»ìÀÌ°í,À¯Ä¡__08/NNG+ÇÏ±¸__03/NNG+·Î/JKB ±×__01/MM+³ªÀÌ/NNG+¸Ô__02/VV+°í/EC+±×·¡__01/IC »ì__01/VV+°í/EC+½Í/VX+³ª/EC ´Ï__05/NP ¸î/MM+»ì__04/NNB+ÀÌ/VCP+°í/EC
575,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,³»³ªÀÌ´Â ½º¹°¸¸´Ù½ÁÂ©~ ´ÙÂ©~ ´ÙÂ©~,³ª__03/NP+ÀÇ/JKG+³ªÀÌ__01/NNG+´Â/JX ½º¹°/NR+¸¸/JX+´Ù/NR+À½Á¤__02/NNG+Â©/NNM+~/SO ´Ù/NR+Â©/NNM+~/SO ´Ù/NR+Â©/NNM+~/SO
576,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,³ª°¡¶ó¿Àºü Àß³¢´Ù,³ª°¡/VV+¶ó/EC+¿Àºü/NNG Àß__02/MAG+°Í__01/NNB+ÀÌ/VCP+´Ù/EF
577,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¿ÊÁà¶ó,¿Ê__01/NNG+ÁÖ__01/VV+¾î¶ó/EC
578,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¹«½¼¿Ê,¹«½¼/MM+¿Ê__01/NNG
579,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¾ö¸¶°¡ »¡·¡µ¹¸°´Ù°í ¿Ê ´Ù ³»³ë¶õ´Ù,¾ö¸¶/NNG+°¡/JKS »¡·¡/NNG+µ¹¸®__04/VV+¤¤´Ù°í/EC ¿Ê__01/NNG ´Ù__03/MAG ³»__02/VV+³ë¶õ/ETM+´Ù/NR
580,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹þ¾î¶ó ¾ó¸¥,¹þ/VV+¾î¶ó/EC ¾ó¸¥__02/MAG
581,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,À½À½~»¡°Å¾ø´Ù,À½À½/IC+~/SO+»¡/NNG+°Å__01/NNB+¾ø__01/VA+´Ù/EF
582,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,´Ï ±×Æ¼ 5ÀÏÂ°°Åµç ³¿»õ¾È³ª³ª,´Ï__05/NP ±×__01/MM+Æ¼__02/NNG 5/SN+ÀÏ__07/NNB+Â°__02/XSN+ÀÌ/VCP+°Åµç/EC ³¿»õ/NNG+¾È³ª³ª/NNP
583,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾î ¾È³ª³×,¾î__02/IC ¾È³ª/NNP+³×__08/XSN
584,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾Æ ¹¹ÇÏ³ë ÇÏÁö¸¶¶ó,¾Æ__02/IC ¹¹/NP+ÇÏ__01/VV+³ë/EC ÇÏ__01/VV+Áö/EC+¸»__03/VX+¶ó/EF
585,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹þ¾î¶ó¾ó¸¥ ¹þ¾î¶ó!,¹þ/VV+¾î¶ó/EC+¾ó¸¥__02/MAG ¹þ/VV+¾î¶ó/EF+!/SF
586,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾Æ ¾ÆÇÁ´Ù,¾Æ__02/IC ¾ÆÇÁ/VA+´Ù/EF
587,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¾Æ¾¾ ¹þÀ¸¶ó°í ¾¾¹Ù ¹þÀ¸¶ó°í,¾Æ¾¾/NNP ¹þ/VV+À¸¶ó°í/EC ¾¾__07/NNB+¹Ù__03/NNB ¹þ/VV+À¸¶ó°í/EC
588,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç, ¾ÆÂÍ ÇÏÁö¸¶¶ó°í ÂÍ,¾Æ/EC+ÂÍ/MAG ÇÏ__01/VV+Áö/EC+¸»__03/VX+¶ó°í/EC ÂÍ/MAG
589,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹þ¾î¶ó!,¹þ/VV+¾î¶ó/EF+!/SF
590,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾Æ ÁøÂ¥ ¾¾,¾Æ__02/IC ÁøÂ¥/NNG ¾¾__07/NNB
591,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹þ¾î¶ó,¹þ/VV+¾î¶ó/EF
592,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¹» ¶Ç ¹þ¾î,¹«¾ù/NP+¤©/JKO ¶Ç/MAG ¹þ/VV+¾î/EC
593,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹ÙÁö,¹ÙÁö__01/NNG
594,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,Àå³­ÇÏ³ª,Àå³­/NNG+ÇÏ³ª/NR
595,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,Àå³­ÇÏ±â´Â,Àå³­ÇÏ/VV+±â/ETN+´Â/JX
596,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾Æ Á¦¹ßÇÏÁö¸¶¶ó,¾Æ__02/IC Á¦¹ßÇÏ__01/VV+Áö/EC+¸»__03/VX+¶ó/EC
597,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹þ¾î¶ó ¹ÙÁö ¹þ¾î¶ó! ¹þ¾î¶ó°í ¾¾,¹þ/VV+¾î¶ó/EC ¹ÙÁö__01/NNG ¹þ/VV+¾î¶ó/EF+!/SF ¹þ/VV+¾î/EC+¶ó°í/EC ¾¾__07/NNB
598,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾Æ ÇÏÁö¸¶¶ó ÇÏÁö¸¶¶ó ÂÍ,¾Æ__02/IC ÇÏ__01/VV+Áö/EC+¸»__03/VX+¶ó/EC ÇÏ__01/VV+Áö/EC+¸»__03/VX+¶ó/EC ÂÍ/MAG
599,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹þ¾î!,¹þ/VV+¾î/EF+!/SF
600,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾Æ ¿Àºü ÂÍ Èûµé°ÔÇÏÁö¸¶¶ó ÂÍ,¾Æ__02/IC ¿Àºü/NNG ÂÍ/MAG Èûµé/VA+°Ô/EC+ÇÏ__01/VV+Áö/EC+¸»__03/VX+¶ó/EC ÂÍ/MAG
601,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,ÇÏ ÁøÂ¥ Á» Á¤½Åº´ÀÚ¾ß °¡¶ó!,ÇÏ__05/NNP ÁøÂ¥/NNG Á»__02/MAG Á¤½Åº´ÀÚ/NNG+ÀÌ/VCP+¾ß/EC °¡__01/VV+¶ó/EF+!/SF
602,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,ÇÏ¾¾..,ÇÏ__05/NNP+¾¾__07/NNB+./SF+./SF
603,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,ºþ¾²,ºþ¾²/NNG
604,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾Æ Á¤½Åº´ÀÚ°¡ ±×¸¸ÇØ¶ó È­³½´Ù ¿Àºü,¾Æ__02/IC Á¤½Åº´ÀÚ/NNG+°¡/JKC ±×¸¸__02/MAG+ÇÏ__01/VV+¾î¶ó/EC È­³»/VV+¤¤´Ù/EC ¿Àºü/NNG
605,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,ÇÏÀÚ¸¶¶ó Á¤¾Æ ,ÇÏÀÚ__02/NNG+¸»__03/VV+¶ó/EC Á¤/NNP+¾Æ/JKV
606,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,Á¤¾Æ ÇÏÁö¸¶¶ó..,Á¤/NNP+¾Æ/JKV ÇÏ__01/VV+Áö/EC+¸»__03/VX+¶ó/EF+./SF+./SF
607,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹þ¾î¶ó,¹þ/VV+¾î¶ó/EF
608,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾Æ Á¤¾Æ..,¾Æ__02/IC Á¤/NNP+¾Æ/JKV+./SF+./SF
609,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹þ¾î¶ó!,¹þ/VV+¾î¶ó/EF+!/SF
610,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,ÇÏÁö¸¶¶ó,ÇÏ__01/VV+Áö/EC+¸»__03/VX+¶ó/EF
611,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¹þ¾î¶ó°í!,¹þ/VV+¾î/EC+¶ó°í/EF+!/SF
612,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾Æ Á¤¾Æ ÇÏÁö¸¶¶ó ,¾Æ__02/IC Á¤/NNP+¾Æ/JKV ÇÏ__01/VV+Áö/EC+¸»__03/VX+¶ó/EF
613,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,ÇÏÁøÂ¥ ÇÏÁö¸¶¶ó,ÇÏ/XSV+ÁøÂ¥/NNG ÇÏ__01/VV+Áö/EC+¸»__03/VX+¶ó/EF
614,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,°Å±â ÇÏÁö¸¶,°Å±â__01/NP ÇÏ__01/VV+Áö/EC+¸»__03/VX+¾Æ/EF
615,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,ÀÌ¾¾ ÇÏ¾¾ ÁøÂ¥...,ÀÌ__13/NNP+¾¾__07/NNB ÇÏ__05/NNP+¾¾__07/NNB ÁøÂ¥/MAG+./SF+./SF+./SF
616,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,³» ¿©µ¿»ýÀÌ ¿Àºü ºþ½º±îÁö Ã¬±âÁÖ¸¶ ¿¹ °í¸¿½À´Ï´Ù ÇØ¾ßÁö ¾î?,³ª__03/NP+ÀÇ/JKG ¿©µ¿»ý/NNG+ÀÌ/JKS ¿Àºü/NNG ºþ½º/NNG+±îÁö/JX Ã¬__01/NNG+±âÁÖ__09/NNG+¾Æ/NNG ¿¹__06/IC °í¸¿__01/VA+½À´Ï´Ù/EC ÇÏ__01/VV+¾î¾ßÁö/EC ¾î__02/IC+?/SF
617,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¼¼»óÃµÁö¿¡ ³»°°Àº ¿©µ¿»ýÀÌ¾îµ¥ÀÖ¾î,¼¼»óÃµÁö/NNG+¿¡/JKB ³»__04/NP+°°/VA+Àº/ETM ¿©µ¿»ý/NNG+ÀÌ/VCP+¾î/EC+µ¥__01/NNB+ÀÖ__01/VA+¾î/EC
618,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,³»°£´Ù ÀßÀÚÀÚ.,³»°¡/VV+¤¤´Ù/EC Àß__02/MAG+ÀÚ__01/VV+ÀÚ/EF+./SF
619,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,ÈåÀ¹..¾¾..,ÈåÀ¹/MAG+./SF+./SF+¾¾__09/XSN+./SF+./SF
620,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,Á¤¾Æ!,Á¤/NNP+¾Æ/JKV+!/SF
621,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,Á¤¾Æ!~~!,Á¤/NNP+¾Æ/JKV+!/SF+~/SO+~/SO+!/SF
622,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,Àá±ñ¸¸ ¿ÍºÁ,Àá±ñ/NNG+¸¸/JX ¿À__01/VV+¾Æ/EC+º¸__01/VX+¾Æ/EF
623,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¿Ö ½È´Ù,¿Ö__02/MAG ½È__01/VA+´Ù/EF
624,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾Æ »¡¸® Àá±ñ¸¸»¡¸® ±ÞÇÏ´Ù,¾Æ__02/IC »¡¸®/MAG Àá±ñ/NNG+¸¸__06/NR+»¡¸®/MAG ±ÞÇÏ/VA+´Ù/EF
625,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾Æ »¡¸® »¡¸® ¾Æ »¡¸® Àá±ñ¸¸ ¿ÍºÁ ~,¾Æ__02/IC »¡¸®/MAG »¡¸®/MAG ¾Æ__02/IC »¡¸®/MAG Àá±ñ/NNG+¸¸/JX ¿À__01/VV+¾Æ/EC+º¸__01/VX+¾Æ/EC ~/SO
626,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¾Æ¿Í!!,¾Æ¿Í/NNP+!/SF+!/SF
627,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾Æ ÁøÂ¥ ±ÞÇÏ´Ù ¿ÀºüÁö±Ý 1ÃÊ¸¸ 1ÃÊ¸éµÈ´Ù,¾Æ__02/IC ÁøÂ¥/NNG ±ÞÇÏ/VA+´Ù/EC ¿Àºü/NNG+Áö±Ý__03/MAG 1/SN+ÃÊ__07/NNB+¸¸/JX 1/SN+ÃÊ¸é__01/NNG+µÇ__01/VV+¤¤´Ù/EF
628,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,¾Æ ±ÞÇÏ´Ù »¡¸®!,¾Æ__02/IC ±ÞÇÏ/VA+´Ù/EC »¡¸®/MAG+!/SF
629,ÀÀ´äÇÏ¶ó1994,¼º³ªÁ¤,19,¿©,°æ³² ¸¶»ê,10´ë,´ëÇÐ»ý,¿Í ¹ºµ¥,¿À__01/VV+¾Æ/EC ¹«¾ù/NP+ÀÌ/VCP+¤¤µ¥/EF
630,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,ºÒ²ô¶ó,ºÒ__01/NNG+²ô__01/VV+¶ó/EC
631,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,Àß²¨´Ù ³» Áö±ÝºÎÅÍ °Çµå¸®Áö¸¶¶óÀÌ ,ÀÚ__01/VV+¤©/ETM+°Í__01/NNB+ÀÌ/VCP+´Ù/EC ³ª__03/NP+ÀÇ/JKG Áö±Ý__03/NNG+ºÎÅÍ/JX °Çµå¸®/VV+Áö/EC+¸»__03/VX+¶óÀÌ/EF
632,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,°Çµå¸®¹È ´ë°¡¸® ´Ù Áã ¶â¾î»Ó´ÙÁøÂ¥,°Çµå¸®/VV+¹È/EC ´ë°¡¸®/NNG ´Ù__03/MAG Áã__02/NNG ¶â/VV+¾î/EC+»Ó__01/NNB+´Ù/NR+ÁøÂ¥/NNG
633,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,Â°¸®º¸Áö¸»°í ±×¾ç µ¹¾Æ¼­°¡ ³Ê°Å¹æÀÌ µå°¡ ÀÚ¶ó´Ïµµ±×³É,Â°__02/XSN+¸®__06/NNB+º¸__01/VV+Áö/EC+¸»__03/VX+°í/EC ±×¾ç/MAG µ¹/VV+¾Æ¼­/EC+°¡/JKS ³Ê°Å/NP+¹æ__07/NNG+ÀÌ/JKS µå°¡/NNP ÀÚ¶ó__01/NNG+´Ïµµ/NNP+±×³É/MAG
634,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,Áö±Ý µü ÁÁ´Ù ³» Áö±Ý ¹Ù·Î Àáµé¼ö ÀÖ´Ù Áö±Ý,Áö±Ý__03/MAG µü__03/MAG ÁÁ__01/VA+´Ù/EC ³»__04/NP Áö±Ý__03/MAG ¹Ù·Î__02/MAG Àáµé/VV+¤©/ETM+¼ö__02/NNB ÀÖ__01/VX+´Ù/EC Áö±Ý__03/MAG
635,ÀÀ´äÇÏ¶ó1994,±èÀçÁØ,23,³²,°æ³² ¸¶»ê,20´ë,ÀÇ»ç,²Þ¼Ó¿¡¼­ ¸¸³ª¿ä~ ¾È³çÁ¤¾Æ~,²Þ¼Ó/NNG+¿¡¼­/JKB ¸¸³ª/VV+¾Æ¿ä/EC+~/SO ¾È³ç/NNG+Á¤/NNP+¾Æ/JKV+~/SO
